epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,4379.88,2.3039,1.24505,0.85532,0.65974,0.46439,0.528,0.21593,2.2103,1.1357,0.84832,0.0002378,0.0002378,0.0002378
91,4433.3,2.20225,1.17495,0.85881,0.6581,0.46089,0.52216,0.21273,2.219,1.14694,0.85026,0.000218,0.000218,0.000218
92,4478.29,2.17206,1.1456,0.86021,0.65507,0.45975,0.52097,0.21236,2.22058,1.14589,0.85023,0.0001982,0.0001982,0.0001982
93,4523.25,2.16052,1.14043,0.85929,0.65989,0.46044,0.52291,0.21304,2.22022,1.14341,0.84986,0.0001784,0.0001784,0.0001784
94,4568.13,2.16775,1.1425,0.85959,0.65915,0.45991,0.52253,0.21293,2.21888,1.14229,0.84936,0.0001586,0.0001586,0.0001586
95,4613.24,2.16454,1.1411,0.85603,0.66075,0.4615,0.52331,0.21335,2.21738,1.14136,0.84919,0.0001388,0.0001388,0.0001388
96,4658.44,2.17057,1.14321,0.85367,0.66229,0.46044,0.52243,0.21293,2.21922,1.14159,0.84967,0.000119,0.000119,0.000119
97,4703.26,2.15836,1.14042,0.85555,0.66192,0.46006,0.52173,0.21308,2.22297,1.14267,0.84956,9.92e-05,9.92e-05,9.92e-05
98,4747.95,2.16333,1.13843,0.8531,0.66475,0.46135,0.52327,0.21338,2.22223,1.14221,0.84951,7.94e-05,7.94e-05,7.94e-05
99,4792.96,2.16503,1.1397,0.85334,0.66446,0.46181,0.52377,0.21396,2.22128,1.14251,0.84929,5.96e-05,5.96e-05,5.96e-05
100,4838.05,2.15222,1.13452,0.85223,0.66505,0.46135,0.52376,0.21407,2.21844,1.14151,0.84878,3.98e-05,3.98e-05,3.98e-05
